object,obj.idx,table,tab.idx,time
mid,21,hor,60,1471959835.566570
high,56,hor,60,1471959837.054995
high,72,hor,60,1471959838.508213
low,113,hor,60,1471959839.931431
low,83,hor,60,1471959841.355358
mid,61,hor,60,1471959842.777488
high,113,hor,60,1471959844.198016
mid,29,hor,60,1471959845.590155
low,36,hor,60,1471959847.013248
high,77,hor,60,1471959848.599093
low,6,hor,60,1471959850.087061
mid,57,hor,60,1471959851.639226
low,51,hor,60,1471959853.126523
mid,46,hor,60,1471959854.614927
high,41,hor,60,1471959856.069860
mid,100,hor,60,1471959857.627920
low,63,hor,60,1471959859.086821
high,65,hor,60,1471959860.608836
mid,16,hor,60,1471959862.067328
low,39,hor,60,1471959863.585225
low,80,hor,60,1471959865.007964
high,38,hor,60,1471959866.528932
high,21,hor,60,1471959868.083996
mid,85,hor,60,1471959869.509027
mid,81,hor,60,1471959870.931981
low,114,hor,60,1471959872.455003
mid,27,hor,60,1471959874.013407
high,62,hor,60,1471959875.536434
high,15,hor,60,1471959877.126926
low,67,hor,60,1471959878.621774
low,54,hor,60,1471959880.142889
mid,117,hor,60,1471959881.565130
low,23,hor,60,1471959882.989888
high,14,hor,60,1471959884.578833
high,57,hor,60,1471959886.032560
mid,55,hor,60,1471959887.625305
low,30,hor,60,1471959889.047284
mid,71,hor,60,1471959890.601984
low,60,hor,60,1471959892.159240
high,83,hor,60,1471959893.581426
mid,10,hor,60,1471959895.068817
low,94,hor,60,1471959896.590233
mid,1,hor,60,1471959898.017769
high,34,hor,60,1471959899.407887
high,105,hor,60,1471959900.861752
mid,51,hor,60,1471959902.318942
low,93,hor,60,1471959903.804900
high,16,hor,60,1471959905.360037
low,102,hor,60,1471959906.951847
low,100,hor,60,1471959908.340191
high,29,hor,60,1471959909.895170
high,8,hor,60,1471959911.517014
mid,28,hor,60,1471959912.905053
mid,12,hor,60,1471959914.491997
high,40,hor,60,1471959915.915578
high,117,hor,60,1471959917.405323
mid,99,hor,60,1471959918.864004
low,96,hor,60,1471959920.324953
low,52,hor,60,1471959921.779281
mid,82,hor,60,1471959923.335721
low,70,hor,60,1471959924.891059
high,114,hor,60,1471959926.446672
high,0,hor,60,1471959927.970159
mid,103,hor,60,1471959929.524810
high,50,hor,60,1471959931.115123
low,42,hor,60,1471959932.538104
low,41,hor,60,1471959933.929040
high,118,hor,60,1471959935.520711
mid,106,hor,60,1471959937.074724
mid,109,hor,60,1471959938.497882
mid,84,hor,60,1471959939.987311
low,38,hor,60,1471959941.542577
low,108,hor,60,1471959943.066809
high,80,hor,60,1471959944.522404
mid,77,hor,60,1471959946.111323
mid,35,hor,60,1471959947.572423
mid,48,hor,60,1471959948.994439
high,20,hor,60,1471959950.519318
low,1,hor,60,1471959951.945920
high,89,hor,60,1471959953.533519
low,57,hor,60,1471959955.061287
high,11,hor,60,1471959956.513634
mid,0,hor,60,1471959958.043188
low,3,hor,60,1471959959.596286
mid,36,hor,60,1471959961.087049
mid,83,hor,60,1471959962.646125
low,11,hor,60,1471959964.170490
high,119,hor,60,1471959965.628388
mid,98,hor,60,1471959967.119492
mid,97,hor,60,1471959968.508222
high,111,hor,60,1471959970.062764
low,97,hor,60,1471959971.621391
low,74,hor,60,1471959973.044548
high,54,hor,60,1471959974.564951
high,44,hor,60,1471959976.127843
low,0,hor,60,1471959977.582805
mid,18,hor,60,1471959979.068873
mid,33,hor,60,1471959980.559661
mid,79,hor,60,1471959982.016287
mid,8,hor,60,1471959983.472787
low,87,hor,60,1471959984.897330
low,15,hor,60,1471959986.320499
high,90,hor,60,1471959987.841103
high,2,hor,60,1471959989.428419
high,1,hor,60,1471959990.984230
low,112,hor,60,1471959992.579028
low,116,hor,60,1471959994.069644
high,26,hor,60,1471959995.492071
high,96,hor,60,1471959996.915138
mid,38,hor,60,1471959998.435864
mid,68,hor,60,1471960000.025391
high,12,hor,60,1471960001.479618
high,95,hor,60,1471960002.906044
low,109,hor,60,1471960004.494411
mid,67,hor,60,1471960005.919481
high,7,hor,60,1471960007.440287
low,61,hor,60,1471960009.027051
mid,3,hor,60,1471960010.613018
low,19,hor,60,1471960012.067382
low,59,hor,60,1471960013.556929
low,99,hor,60,1471960047.120069
high,86,hor,60,1471960048.706751
mid,69,hor,60,1471960050.294261
high,48,hor,60,1471960051.751762
low,13,hor,60,1471960053.340796
low,17,hor,60,1471960054.797816
mid,40,hor,60,1471960056.321368
high,32,hor,60,1471960057.812856
low,64,hor,60,1471960059.268557
mid,114,hor,60,1471960060.792924
high,104,hor,60,1471960062.247124
mid,14,hor,60,1471960063.802966
mid,93,hor,60,1471960065.260431
mid,26,hor,60,1471960066.651513
high,33,hor,60,1471960068.141019
mid,102,hor,60,1471960069.695449
mid,115,hor,60,1471960071.184013
low,66,hor,60,1471960072.773208
high,68,hor,60,1471960074.261080
high,73,hor,60,1471960075.783123
low,46,hor,60,1471960077.203421
low,75,hor,60,1471960078.761696
high,82,hor,60,1471960080.350583
low,55,hor,60,1471960081.842354
low,53,hor,60,1471960083.329447
mid,42,hor,60,1471960084.818587
low,77,hor,60,1471960086.278437
high,84,hor,60,1471960087.831020
high,43,hor,60,1471960089.353661
mid,13,hor,60,1471960090.878023
mid,63,hor,60,1471960092.365171
low,7,hor,60,1471960093.955892
high,5,hor,60,1471960095.506399
low,16,hor,60,1471960097.125919
high,18,hor,60,1471960098.583298
mid,52,hor,60,1471960100.069879
mid,110,hor,60,1471960101.662185
high,81,hor,60,1471960103.121758
high,78,hor,60,1471960104.641997
high,67,hor,60,1471960106.133003
low,35,hor,60,1471960107.560180
high,102,hor,60,1471960109.082664
low,107,hor,60,1471960110.537161
low,21,hor,60,1471960111.961853
mid,53,hor,60,1471960113.551756
low,14,hor,60,1471960115.110746
mid,101,hor,60,1471960116.531765
mid,25,hor,60,1471960118.056618
mid,58,hor,60,1471960119.512472
low,28,hor,60,1471960120.969589
low,2,hor,60,1471960122.394038
low,29,hor,60,1471960123.854741
low,92,hor,60,1471960125.376367
mid,65,hor,60,1471960126.830845
mid,76,hor,60,1471960128.255642
