stimulus,angle,response,time
79,9.50,right,1478178284.442192
65,2.50,right,1478178290.897398
14,-23.00,left,1478178292.272121
55,-2.50,left,1478178293.689142
84,12.00,right,1478178295.255208
18,-21.00,left,1478178296.683877
108,24.00,right,1478178298.126725
36,-12.00,left,1478178299.569667
102,21.00,right,1478178301.052780
41,-9.50,left,1478178302.496920
62,1.00,left,1478178304.130614
78,9.00,right,1478178305.723277
16,-22.00,left,1478178307.152612
118,29.00,right,1478178308.637172
58,-1.00,right,1478178310.297573
26,-17.00,left,1478178311.809461
98,19.00,right,1478178313.156460
10,-25.00,left,1478178314.736767
45,-7.50,left,1478178316.370758
94,17.00,right,1478178317.677537
107,23.50,right,1478178319.242599
34,-13.00,left,1478178320.835488
53,-3.50,left,1478178322.401277
69,4.50,right,1478178324.362215
46,-7.00,left,1478178325.574163
67,3.50,right,1478178327.031114
71,5.50,right,1478178328.446747
57,-1.50,right,1478178330.447959
97,18.50,right,1478178331.687221
66,3.00,right,1478178333.334514
24,-18.00,left,1478178334.560711
86,13.00,right,1478178336.098752
103,21.50,right,1478178337.513695
7,-26.50,left,1478178339.011622
91,15.50,right,1478178340.359239
48,-6.00,left,1478178341.911102
90,15.00,right,1478178343.476589
112,26.00,right,1478178345.000966
75,7.50,right,1478178346.511549
37,-11.50,left,1478178348.118197
2,-29.00,left,1478178349.588413
73,6.50,right,1478178351.031672
13,-23.50,left,1478178352.542948
56,-2.00,right,1478178353.986910
119,29.50,right,1478178355.538355
28,-16.00,left,1478178357.185173
19,-20.50,left,1478178358.654965
116,28.00,right,1478178360.179482
35,-12.50,left,1478178361.772884
95,17.50,right,1478178363.188992
60,0.00,right,1478178364.699797
76,8.00,right,1478178366.033396
15,-22.50,left,1478178367.517396
72,6.00,right,1478178369.029044
4,-28.00,left,1478178370.580695
25,-17.50,left,1478178372.200764
82,11.00,right,1478178373.684336
101,20.50,right,1478178375.223068
32,-14.00,left,1478178376.706959
83,11.50,right,1478178378.163237
54,-3.00,right,1478178379.743595
0,-30.00,left,1478178381.145704
50,-5.00,left,1478178382.943452
23,-18.50,left,1478178384.237438
111,25.50,right,1478178385.722161
47,-6.50,left,1478178387.274516
9,-25.50,left,1478178388.963141
20,-20.00,left,1478178390.215793
49,-5.50,left,1478178391.849379
109,24.50,right,1478178393.156140
93,16.50,right,1478178394.721603
80,10.00,right,1478178396.151634
88,14.00,right,1478178397.484952
11,-24.50,left,1478178399.023227
22,-19.00,left,1478178400.561437
12,-24.00,left,1478178401.935805
33,-13.50,left,1478178403.392282
44,-8.00,left,1478178404.944744
39,-10.50,left,1478178406.565073
59,-0.50,left,1478178408.131153
6,-27.00,left,1478178409.696852
114,27.00,right,1478178411.207620
92,16.00,right,1478178412.596581
43,-8.50,right,1478178414.243345
89,14.50,right,1478178415.645664
77,8.50,right,1478178417.183213
21,-19.50,left,1478178418.708372
74,7.00,right,1478178420.179048
100,20.00,right,1478178421.744753
99,19.50,right,1478178423.214306
17,-21.50,left,1478178424.834623
52,-4.00,left,1478178426.442045
38,-11.00,left,1478178427.804263
110,25.00,right,1478178429.329318
63,1.50,right,1478178431.072003
68,4.00,right,1478178432.419299
106,23.00,right,1478178433.902710
5,-27.50,left,1478178435.590220
31,-14.50,left,1478178437.019989
104,22.00,right,1478178438.476384
96,18.00,right,1478178439.783324
30,-15.00,left,1478178441.376981
27,-16.50,left,1478178442.764698
113,26.50,right,1478178444.344334
1,-29.50,left,1478178445.814647
3,-28.50,left,1478178447.284585
61,0.50,left,1478178448.686044
51,-4.50,left,1478178450.265149
8,-26.00,left,1478178451.776079
40,-10.00,left,1478178453.259844
81,10.50,left,1478178454.825248
70,5.00,right,1478178456.391168
85,12.50,right,1478178457.780352
29,-15.50,left,1478178459.359892
87,13.50,right,1478178460.816606
42,-9.00,left,1478178462.326638
117,28.50,right,1478178463.660747
64,2.00,right,1478178465.375147
115,27.50,right,1478178466.777234
105,22.50,right,1478178468.220226
