object,stimulus,angle,response,time
mid,5,7.50,left,1487166045.403076
mid,95,52.50,right,1487166046.668542
low,85,47.50,right,1487166048.125920
high,117,63.50,right,1487166049.543026
low,51,30.50,left,1487166051.108110
low,38,24.00,left,1487166052.645830
high,58,34.00,right,1487166054.130828
high,10,10.00,left,1487166055.710308
high,50,30.00,NA,0.000000
mid,65,37.50,NA,0.000000
mid,19,14.50,left,1487166060.228728
low,43,26.50,left,1487166061.698742
mid,99,54.50,right,1487166063.100366
high,1,5.50,left,1487166064.543100
low,25,17.50,left,1487166066.136818
low,36,23.00,left,1487166067.661080
low,102,56.00,right,1487166069.281245
high,68,39.00,right,1487166070.671618
high,17,13.50,left,1487166072.196629
mid,86,48.00,right,1487166073.612558
high,86,48.00,right,1487166075.002079
mid,48,29.00,right,1487166076.607703
low,91,50.50,right,1487166078.010027
mid,57,33.50,left,1487166079.792829
high,32,21.00,left,1487166081.263149
mid,64,37.00,right,1487166082.611215
low,89,49.50,right,1487166084.109203
mid,12,11.00,left,1487166085.621629
low,14,12.00,left,1487166087.079318
high,48,29.00,right,1487166088.835630
low,52,31.00,right,1487166090.210864
low,108,59.00,right,1487166091.694604
mid,25,17.50,left,1487166093.191183
high,44,27.00,right,1487166094.729751
high,14,12.00,left,1487166096.228041
mid,27,18.50,left,1487166097.971536
mid,9,9.50,left,1487166099.496724
low,87,48.50,right,1487166101.035678
high,23,16.50,left,1487166102.396771
low,59,34.50,left,1487166103.962505
low,81,45.50,right,1487166105.500460
high,63,36.50,right,1487166106.889107
high,60,35.00,right,1487166108.360484
mid,34,22.00,left,1487166109.980538
high,29,19.50,left,1487166111.220331
low,96,53.00,right,1487166112.799803
mid,66,38.00,right,1487166114.284029
mid,3,6.50,left,1487166115.754530
high,13,11.50,left,1487166117.238199
low,73,41.50,right,1487166118.762762
high,30,20.00,left,1487166120.396177
mid,31,20.50,left,1487166121.866529
high,22,16.00,left,1487166123.363165
low,17,13.50,left,1487166124.805689
mid,40,25.00,left,1487166126.221166
high,77,43.50,right,1487166127.705326
mid,71,40.50,right,1487166129.243889
low,23,16.50,left,1487166130.823454
mid,72,41.00,right,1487166132.348226
low,46,28.00,left,1487166133.655122
low,20,15.00,right,1487166135.193606
high,64,37.00,right,1487166136.759568
low,68,39.00,right,1487166138.325247
low,82,46.00,right,1487166139.945950
high,84,47.00,right,1487166141.184787
low,62,36.00,right,1487166142.641369
mid,63,36.50,right,1487166144.247349
mid,67,38.50,right,1487166145.637408
high,110,60.00,right,1487166147.148144
high,7,8.50,left,1487166148.808744
