stimulus,angle,response,time
58,-1.00,right,1473153206.233720
32,-14.00,left,1473153274.014024
21,-19.50,left,1473153275.095841
61,0.50,left,1473153276.423661
53,-3.50,left,1473153277.986714
104,22.00,right,1473153279.384631
55,-2.50,right,1473153281.014261
33,-13.50,left,1473153282.507521
116,28.00,right,1473153284.124249
84,12.00,right,1473153285.644748
20,-20.00,left,1473153286.946475
64,2.00,left,1473153288.784189
8,-26.00,left,1473153289.963544
14,-23.00,left,1473153291.333525
25,-17.50,left,1473153292.745276
7,-26.50,left,1473153294.278925
22,-19.00,left,1473153295.704155
65,2.50,left,1473153297.266189
82,11.00,right,1473153298.719397
11,-24.50,left,1473153300.227292
24,-18.00,left,1473153301.597639
69,4.50,left,1473153303.161455
49,-5.50,right,1473153304.793038
59,-0.50,left,1473153306.643526
75,7.50,right,1473153307.617053
97,18.50,left,1473153309.182412
91,15.50,right,1473153310.607754
99,19.50,right,1473153312.049804
81,10.50,right,1473153313.448668
67,3.50,right,1473153315.013099
13,-23.50,left,1473153316.466335
56,-2.00,left,1473153318.166232
5,-27.50,left,1473153319.496331
112,26.00,right,1473153321.318469
103,21.50,right,1473153322.691063
44,-8.00,left,1473153324.076246
42,-9.00,left,1473153325.638610
115,27.50,right,1473153327.212728
2,-29.00,left,1473153328.665611
85,12.50,right,1473153330.105790
27,-16.50,left,1473153331.584798
108,24.00,right,1473153333.037661
39,-10.50,left,1473153334.533577
77,8.50,left,1473153336.178482
43,-8.50,left,1473153337.918185
4,-28.00,left,1473153339.192864
35,-12.50,left,1473153340.467107
73,6.50,right,1473153341.877782
118,29.00,right,1473153343.467918
41,-9.50,left,1473153345.138220
80,10.00,right,1473153347.029801
102,21.00,right,1473153347.989267
40,-10.00,left,1473153349.551230
78,9.00,right,1473153351.165995
114,27.00,right,1473153352.591262
60,0.00,left,1473153354.015512
89,14.50,right,1473153355.331823
30,-15.00,left,1473153357.003873
29,-15.50,left,1473153358.565445
26,-17.00,left,1473153360.033346
50,-5.00,left,1473153361.718666
17,-21.50,left,1473153363.036968
57,-1.50,left,1473153364.998860
15,-22.50,left,1473153366.204811
45,-7.50,left,1473153367.740057
9,-25.50,left,1473153369.055643
86,13.00,right,1473153370.576400
54,-3.00,left,1473153372.168618
105,22.50,right,1473153373.785005
113,26.50,right,1473153375.208986
28,-16.00,left,1473153376.882227
36,-12.00,left,1473153378.361644
90,15.00,right,1473153380.032910
98,19.00,right,1473153381.445007
38,-11.00,left,1473153383.172017
18,-21.00,left,1473153384.502891
93,16.50,right,1473153386.104582
111,25.50,right,1473153387.640390
3,-28.50,left,1473153389.299518
37,-11.50,left,1473153390.670292
107,23.50,left,1473153392.054906
106,23.00,right,1473153393.561588
6,-27.00,left,1473153395.136954
68,4.00,left,1473153396.631862
100,20.00,right,1473153398.152810
74,7.00,right,1473153399.961679
47,-6.50,right,1473153401.196383
92,16.00,right,1473153402.786857
16,-22.00,left,1473153404.157154
110,25.00,right,1473153405.651921
0,-30.00,left,1473153407.376943
79,9.50,right,1473153408.925479
10,-25.00,left,1473153410.146123
87,13.50,right,1473153411.475898
117,28.50,right,1473153412.997372
94,17.00,right,1473153414.421449
88,14.00,right,1473153416.066077
62,1.00,left,1473153417.971908
101,20.50,right,1473153419.191580
23,-18.50,left,1473153420.684765
76,8.00,right,1473153422.246811
31,-14.50,left,1473153423.658274
95,17.50,right,1473153424.960233
51,-4.50,right,1473153426.645604
63,1.50,left,1473153428.385502
1,-29.50,left,1473153429.674155
12,-24.00,left,1473153430.908976
119,29.50,right,1473153432.414908
46,-7.00,left,1473153434.101175
83,11.50,left,1473153435.594998
70,5.00,left,1473153437.034475
52,-4.00,left,1473153438.652025
109,24.50,right,1473153439.788233
96,18.00,right,1473153441.185277
66,3.00,left,1473153442.582322
71,5.50,left,1473153444.460692
19,-20.50,left,1473153445.665569
48,-6.00,left,1473153447.298267
34,-13.00,left,1473153448.627683
72,6.00,left,1473153450.136103
