object,obj.idx,table,tab.idx,time
low,18,hor,60,1478706894.287030
low,43,hor,60,1478706895.744233
mid,50,hor,60,1478706897.132775
mid,89,hor,60,1478706898.721700
high,81,hor,60,1478706900.245959
mid,34,hor,60,1478706901.735937
mid,19,hor,60,1478706903.160975
high,10,hor,60,1478706904.585354
low,60,hor,60,1478706906.175446
high,48,hor,60,1478706907.697835
high,110,hor,60,1478706909.252879
low,115,hor,60,1478706910.708305
low,111,hor,60,1478706912.265502
high,67,hor,60,1478706913.784970
low,38,hor,60,1478706915.341981
low,89,hor,60,1478706916.863020
mid,37,hor,60,1478706918.321544
high,14,hor,60,1478706919.782902
high,49,hor,60,1478706921.372104
mid,26,hor,60,1478706922.861393
high,45,hor,60,1478706924.451820
mid,86,hor,60,1478706925.941575
low,88,hor,60,1478706927.497071
mid,58,hor,60,1478706929.018508
high,107,hor,60,1478706930.571419
mid,112,hor,60,1478706932.056889
high,13,hor,60,1478706933.612153
low,31,hor,60,1478706935.067190
mid,98,hor,60,1478706936.525220
mid,27,hor,60,1478706938.046302
low,35,hor,60,1478706939.539038
high,53,hor,60,1478706941.127222
mid,35,hor,60,1478706942.619187
high,25,hor,60,1478706944.077614
low,42,hor,60,1478706945.533775
low,59,hor,60,1478706947.121445
high,113,hor,60,1478706948.677452
high,86,hor,60,1478706950.201545
high,17,hor,60,1478706951.790559
mid,71,hor,60,1478706953.213523
mid,3,hor,60,1478706954.740820
low,22,hor,60,1478706956.298083
low,84,hor,60,1478706957.787659
high,75,hor,60,1478706959.209874
low,77,hor,60,1478706960.731269
low,113,hor,60,1478706962.188132
mid,38,hor,60,1478706963.745223
mid,99,hor,60,1478706965.235937
mid,114,hor,60,1478706966.822260
high,93,hor,60,1478706968.245512
high,80,hor,60,1478706969.736804
high,44,hor,60,1478706971.224640
mid,106,hor,60,1478706972.647244
low,6,hor,60,1478706974.167156
low,70,hor,60,1478706975.588446
high,56,hor,60,1478706977.110850
low,10,hor,60,1478706978.634195
low,116,hor,60,1478706980.122533
mid,30,hor,60,1478706981.545938
mid,24,hor,60,1478706982.967573
low,27,hor,60,1478706984.490021
mid,76,hor,60,1478706985.979936
mid,73,hor,60,1478706987.535763
mid,10,hor,60,1478706989.057196
low,102,hor,60,1478706990.448514
high,55,hor,60,1478706992.000370
high,42,hor,60,1478706993.587661
low,29,hor,60,1478706995.142416
low,7,hor,60,1478706996.696190
high,70,hor,60,1478706998.285487
high,41,hor,60,1478706999.844236
mid,110,hor,60,1478707001.431124
high,112,hor,60,1478707003.020703
mid,42,hor,60,1478707004.543217
high,22,hor,60,1478707005.967256
mid,16,hor,60,1478707007.455344
mid,47,hor,60,1478707009.046318
low,95,hor,60,1478707010.634244
high,36,hor,60,1478707012.058542
mid,33,hor,60,1478707013.611995
low,101,hor,60,1478707015.068049
low,34,hor,60,1478707016.558364
high,19,hor,60,1478707017.982300
low,86,hor,60,1478707019.574632
mid,67,hor,60,1478707020.995622
mid,54,hor,60,1478707022.582711
low,112,hor,60,1478707024.005815
mid,95,hor,60,1478707025.426580
low,46,hor,60,1478707026.985296
low,15,hor,60,1478707028.440932
high,5,hor,60,1478707029.829264
high,73,hor,60,1478707031.318623
mid,44,hor,60,1478707032.910043
low,76,hor,60,1478707034.429943
high,116,hor,60,1478707035.952690
high,23,hor,60,1478707037.341822
low,105,hor,60,1478707038.925618
low,103,hor,60,1478707040.517403
mid,15,hor,60,1478707041.938541
mid,41,hor,60,1478707043.428343
low,37,hor,60,1478707044.851955
high,37,hor,60,1478707046.372986
high,78,hor,60,1478707047.828054
mid,107,hor,60,1478707049.386103
high,51,hor,60,1478707050.941415
high,64,hor,60,1478707052.430852
low,69,hor,60,1478707053.886428
mid,18,hor,60,1478707055.477179
mid,96,hor,60,1478707056.930860
low,53,hor,60,1478707058.519476
low,48,hor,60,1478707060.108105
low,39,hor,60,1478707061.528154
high,20,hor,60,1478707062.985012
mid,4,hor,60,1478707064.473744
mid,61,hor,60,1478707065.895569
low,36,hor,60,1478707067.451527
high,115,hor,60,1478707069.006340
high,87,hor,60,1478707070.528771
high,68,hor,60,1478707071.984315
mid,14,hor,60,1478707073.575740
mid,68,hor,60,1478707107.260609
mid,17,hor,60,1478707108.717663
mid,2,hor,60,1478707110.137001
high,6,hor,60,1478707111.727567
high,105,hor,60,1478707113.117814
low,33,hor,60,1478707114.577615
low,45,hor,60,1478707116.030565
mid,115,hor,60,1478707117.587426
high,46,hor,60,1478707119.176852
high,57,hor,60,1478707120.666497
low,25,hor,60,1478707122.253552
low,63,hor,60,1478707123.676439
high,94,hor,60,1478707125.233686
mid,60,hor,60,1478707126.724043
high,34,hor,60,1478707128.214679
high,84,hor,60,1478707129.639838
low,11,hor,60,1478707131.226451
mid,116,hor,60,1478707132.682977
low,98,hor,60,1478707134.235258
mid,92,hor,60,1478707135.823988
high,15,hor,60,1478707137.249420
low,52,hor,60,1478707138.804466
mid,109,hor,60,1478707140.262833
low,12,hor,60,1478707141.782512
mid,20,hor,60,1478707143.336542
low,118,hor,60,1478707144.924994
mid,105,hor,60,1478707146.414948
low,108,hor,60,1478707147.973092
high,58,hor,60,1478707149.397136
high,54,hor,60,1478707150.817889
mid,97,hor,60,1478707152.403402
high,9,hor,60,1478707153.957643
mid,88,hor,60,1478707155.546975
high,33,hor,60,1478707157.132337
low,56,hor,60,1478707158.622394
low,97,hor,60,1478707160.147357
mid,100,hor,60,1478707161.605338
mid,80,hor,60,1478707163.060639
mid,90,hor,60,1478707164.648522
high,2,hor,60,1478707166.236702
low,49,hor,60,1478707167.662160
low,67,hor,60,1478707169.118874
high,96,hor,60,1478707170.542543
low,91,hor,60,1478707172.097494
high,119,hor,60,1478707173.587936
mid,83,hor,60,1478707175.107817
low,92,hor,60,1478707176.629640
high,85,hor,60,1478707178.119440
mid,77,hor,60,1478707179.610966
mid,43,hor,60,1478707181.031984
low,17,hor,60,1478707182.488585
low,119,hor,60,1478707183.913441
high,98,hor,60,1478707185.402471
mid,70,hor,60,1478707186.824036
low,80,hor,60,1478707188.346775
mid,93,hor,60,1478707189.902764
low,66,hor,60,1478707191.390026
high,27,hor,60,1478707192.946339
high,97,hor,60,1478707194.466248
high,29,hor,60,1478707195.923074
low,100,hor,60,1478707197.346912
high,30,hor,60,1478707198.804836
high,102,hor,60,1478707200.294563
low,110,hor,60,1478707201.849821
mid,46,hor,60,1478707203.302808
mid,74,hor,60,1478707204.823717
mid,11,hor,60,1478707206.412860
high,109,hor,60,1478707207.834925
low,47,hor,60,1478707209.387205
high,59,hor,60,1478707210.908230
mid,102,hor,60,1478707212.462702
low,14,hor,60,1478707213.949440
low,57,hor,60,1478707215.371242
high,31,hor,60,1478707216.894100
low,40,hor,60,1478707218.352351
high,38,hor,60,1478707219.910273
mid,23,hor,60,1478707221.363938
high,28,hor,60,1478707222.885784
mid,66,hor,60,1478707224.312815
low,5,hor,60,1478707225.865321
mid,81,hor,60,1478707227.418263
low,117,hor,60,1478707229.008399
mid,12,hor,60,1478707230.528902
high,39,hor,60,1478707231.950081
high,101,hor,60,1478707233.439923
low,82,hor,60,1478707235.026604
low,79,hor,60,1478707236.579531
mid,118,hor,60,1478707238.034955
high,111,hor,60,1478707239.589293
mid,65,hor,60,1478707241.181744
mid,28,hor,60,1478707242.671422
high,32,hor,60,1478707244.191813
low,3,hor,60,1478707245.779557
high,12,hor,60,1478707247.364397
low,93,hor,60,1478707248.855017
mid,84,hor,60,1478707250.278869
high,65,hor,60,1478707251.764421
mid,52,hor,60,1478707253.217618
mid,79,hor,60,1478707254.673424
high,43,hor,60,1478707256.263168
high,11,hor,60,1478707257.686150
low,24,hor,60,1478707259.306207
mid,8,hor,60,1478707260.727910
low,75,hor,60,1478707262.216078
low,0,hor,60,1478707263.770756
high,16,hor,60,1478707265.325407
mid,87,hor,60,1478707266.815410
low,96,hor,60,1478707268.368396
low,21,hor,60,1478707269.756730
high,24,hor,60,1478707271.281119
mid,91,hor,60,1478707272.870349
high,21,hor,60,1478707274.394838
low,65,hor,60,1478707275.983894
low,55,hor,60,1478707277.472655
mid,69,hor,60,1478707278.961653
mid,5,hor,60,1478707280.516332
high,79,hor,60,1478707282.035241
high,104,hor,60,1478707283.459512
mid,78,hor,60,1478707284.913930
low,74,hor,60,1478707286.466538
high,7,hor,60,1478707320.229836
high,82,hor,60,1478707321.787340
high,77,hor,60,1478707323.275356
mid,108,hor,60,1478707324.864179
low,72,hor,60,1478707326.286152
low,68,hor,60,1478707327.778205
high,50,hor,60,1478707329.301036
mid,32,hor,60,1478707330.854198
mid,63,hor,60,1478707332.279197
low,90,hor,60,1478707333.864426
low,51,hor,60,1478707335.421699
mid,48,hor,60,1478707336.945927
mid,31,hor,60,1478707338.367701
high,114,hor,60,1478707339.856458
mid,94,hor,60,1478707341.280857
low,4,hor,60,1478707342.868151
low,83,hor,60,1478707344.290762
high,62,hor,60,1478707345.713368
low,85,hor,60,1478707347.107991
mid,57,hor,60,1478707348.530006
high,40,hor,60,1478707350.018008
high,95,hor,60,1478707351.471486
low,73,hor,60,1478707352.893123
mid,25,hor,60,1478707354.449293
high,108,hor,60,1478707356.066177
mid,51,hor,60,1478707357.589829
high,1,hor,60,1478707359.114999
low,20,hor,60,1478707360.571253
low,71,hor,60,1478707362.125713
high,66,hor,60,1478707363.550621
low,13,hor,60,1478707365.040020
mid,53,hor,60,1478707366.562920
low,32,hor,60,1478707368.084217
mid,21,hor,60,1478707369.539272
mid,82,hor,60,1478707370.929249
high,18,hor,60,1478707372.453376
mid,119,hor,60,1478707373.909300
high,63,hor,60,1478707375.501386
mid,39,hor,60,1478707377.059829
mid,75,hor,60,1478707378.580559
high,99,hor,60,1478707380.134205
high,88,hor,60,1478707381.693169
low,64,hor,60,1478707383.115773
mid,7,hor,60,1478707384.538117
low,9,hor,60,1478707385.961565
low,62,hor,60,1478707387.421526
high,90,hor,60,1478707388.877856
low,30,hor,60,1478707390.365627
low,28,hor,60,1478707391.853815
low,87,hor,60,1478707393.279853
high,69,hor,60,1478707394.736023
mid,13,hor,60,1478707396.323936
high,0,hor,60,1478707397.715497
low,16,hor,60,1478707399.136436
low,54,hor,60,1478707400.754748
high,92,hor,60,1478707402.212509
high,47,hor,60,1478707403.605221
mid,103,hor,60,1478707405.059011
mid,36,hor,60,1478707406.551576
mid,6,hor,60,1478707408.072697
low,41,hor,60,1478707409.664884
high,83,hor,60,1478707411.188566
high,76,hor,60,1478707412.645192
mid,104,hor,60,1478707414.202133
low,99,hor,60,1478707415.591037
low,8,hor,60,1478707417.078002
mid,56,hor,60,1478707418.533417
high,71,hor,60,1478707420.056672
low,44,hor,60,1478707421.581413
mid,22,hor,60,1478707423.036126
high,106,hor,60,1478707424.560181
mid,49,hor,60,1478707426.147265
low,94,hor,60,1478707427.569894
low,78,hor,60,1478707429.057480
high,118,hor,60,1478707430.611018
mid,1,hor,60,1478707432.004520
high,4,hor,60,1478707433.456858
high,91,hor,60,1478707434.977088
mid,9,hor,60,1478707436.565601
mid,55,hor,60,1478707437.987559
high,100,hor,60,1478707439.577639
mid,85,hor,60,1478707441.134519
low,81,hor,60,1478707442.657080
low,58,hor,60,1478707444.147231
mid,0,hor,60,1478707445.571229
mid,59,hor,60,1478707447.161407
high,35,hor,60,1478707448.688897
high,60,hor,60,1478707450.079171
high,8,hor,60,1478707451.667008
mid,45,hor,60,1478707453.057191
low,50,hor,60,1478707454.579916
low,23,hor,60,1478707456.070062
high,72,hor,60,1478707457.660096
low,114,hor,60,1478707459.119868
mid,117,hor,60,1478707460.740268
low,109,hor,60,1478707462.266053
low,107,hor,60,1478707463.720212
low,26,hor,60,1478707465.242805
high,117,hor,60,1478707466.728435
mid,64,hor,60,1478707468.181807
mid,62,hor,60,1478707469.735094
low,19,hor,60,1478707471.321518
mid,72,hor,60,1478707472.910175
high,52,hor,60,1478707474.467430
high,26,hor,60,1478707475.988661
low,61,hor,60,1478707477.511414
high,89,hor,60,1478707478.999394
mid,111,hor,60,1478707480.624115
mid,101,hor,60,1478707482.113167
high,74,hor,60,1478707483.599874
low,2,hor,60,1478707485.120706
mid,40,hor,60,1478707486.646995
mid,113,hor,60,1478707488.199483
low,1,hor,60,1478707489.688044
low,106,hor,60,1478707491.242273
low,104,hor,60,1478707492.796526
mid,29,hor,60,1478707494.252323
high,103,hor,60,1478707495.741177
high,3,hor,60,1478707497.363418
high,61,hor,60,1478707498.920589
