object,stimulus,angle,response,time
mid,112,61.00,right,1487235730.674822
high,118,64.00,right,1487235732.050750
high,29,19.50,left,1487235733.589402
mid,86,48.00,right,1487235735.073198
high,62,36.00,right,1487235736.679773
low,9,9.50,left,1487235738.231722
mid,73,41.50,right,1487235739.634076
high,1,5.50,left,1487235741.199784
low,99,54.50,right,1487235742.710553
low,95,52.50,right,1487235744.193881
mid,65,37.50,right,1487235745.759312
low,22,16.00,left,1487235747.175081
low,17,13.50,left,1487235748.673052
mid,110,60.00,right,1487235750.212778
high,60,35.00,right,1487235751.833166
low,107,58.50,right,1487235753.453358
mid,6,8.00,left,1487235754.909642
high,91,50.50,right,1487235756.393564
low,38,24.00,left,1487235758.053774
low,56,33.00,right,1487235759.361578
high,81,45.50,right,1487235761.008832
mid,27,18.50,left,1487235762.479238
high,58,34.00,right,1487235763.990407
mid,43,26.50,left,1487235765.501443
low,106,58.00,right,1487235766.944180
mid,75,42.50,right,1487235768.413647
mid,46,28.00,left,1487235769.979293
low,49,29.50,left,1487235771.436268
low,65,37.50,left,1487235772.933941
high,65,37.50,right,1487235774.458011
mid,89,49.50,right,1487235775.819665
mid,70,40.00,right,1487235777.290120
high,74,42.00,right,1487235778.706066
high,111,60.50,right,1487235780.311524
low,47,28.50,left,1487235781.876848
high,99,54.50,right,1487235783.225274
low,86,48.00,right,1487235784.872274
high,47,28.50,right,1487235786.356312
low,52,31.00,left,1487235787.812333
mid,67,38.50,right,1487235789.187619
high,4,7.00,left,1487235790.643833
high,104,57.00,right,1487235792.032600
mid,74,42.00,right,1487235793.625399
low,7,8.50,left,1487235794.972317
low,4,7.00,left,1487235796.470529
mid,60,35.00,right,1487235798.063815
mid,108,59.00,right,1487235799.464626
high,83,46.50,right,1487235801.002382
low,60,35.00,right,1487235802.663264
mid,90,50.00,right,1487235804.011289
high,33,21.50,left,1487235805.548135
low,96,53.00,right,1487235807.072977
mid,68,39.00,right,1487235808.529615
low,119,64.50,right,1487235809.985492
high,68,39.00,right,1487235811.673344
low,20,15.00,left,1487235813.102840
mid,35,22.50,left,1487235814.599929
high,43,26.50,right,1487235816.262335
mid,118,64.00,right,1487235817.557183
high,30,20.00,left,1487235819.177244
mid,33,21.50,left,1487235820.756096
low,28,19.00,left,1487235822.184531
low,40,25.00,left,1487235823.627090
high,0,5.00,left,1487235825.069565
mid,50,30.00,right,1487235826.539827
high,98,54.00,right,1487235827.955727
high,76,43.00,right,1487235829.521512
high,71,40.50,right,1487235831.141408
mid,8,9.00,left,1487235832.611560
mid,18,14.00,left,1487235834.094895
low,45,27.50,right,1487235835.687408
low,37,23.50,right,1487235837.239660
low,58,34.00,right,1487235838.709809
low,64,37.00,right,1487235840.302726
mid,100,55.00,right,1487235841.758630
mid,45,27.50,right,1487235843.446466
mid,37,23.50,right,1487235844.916645
high,101,55.50,right,1487235846.400376
high,87,48.50,right,1487235847.966520
mid,19,14.50,left,1487235849.640029
high,42,26.00,right,1487235851.586519
high,57,33.50,right,1487235852.553016
low,115,62.50,right,1487235853.914521
low,113,61.50,right,1487235855.452374
high,3,6.50,left,1487235857.059159
mid,17,13.50,left,1487235858.380133
mid,107,58.50,right,1487235859.864419
low,89,49.50,right,1487235861.375020
low,21,15.50,left,1487235862.926967
high,36,23.00,left,1487235864.356066
mid,5,7.50,left,1487235865.974928
low,118,64.00,right,1487235867.336122
high,86,48.00,right,1487235868.738848
high,13,11.50,left,1487235870.235272
mid,28,19.00,left,1487235871.760451
low,10,10.00,left,1487235873.134237
mid,59,34.50,right,1487235874.522925
mid,102,56.00,right,1487235875.979021
mid,104,57.00,right,1487235877.558232
high,94,52.00,right,1487235879.204433
low,79,44.50,left,1487235880.674116
low,104,57.00,right,1487235882.198832
high,14,12.00,left,1487235883.955054
low,94,52.00,right,1487235885.342940
low,111,60.50,right,1487235886.867952
high,116,63.00,right,1487235888.420345
mid,14,12.00,left,1487235889.984940
high,49,29.50,left,1487235891.467753
mid,25,17.50,left,1487235893.045959
low,97,53.50,right,1487235894.570495
low,3,6.50,left,1487235896.135763
mid,63,36.50,right,1487235897.673455
high,117,63.50,right,1487235899.116333
high,61,35.50,right,1487235900.559582
low,93,51.50,right,1487235902.070897
mid,26,18.00,left,1487235903.691004
mid,80,45.00,right,1487235905.093088
high,51,30.50,right,1487235906.617072
low,109,59.50,right,1487235908.085879
high,15,12.50,left,1487235909.664255
high,40,25.00,right,1487235943.307620
mid,77,43.50,right,1487235944.737663
mid,22,16.00,right,1487235946.316424
high,5,7.50,left,1487235947.718212
mid,81,45.50,right,1487235949.133568
high,67,38.50,right,1487235950.643669
low,54,32.00,right,1487235952.086477
high,63,36.50,right,1487235953.624739
low,82,46.00,right,1487235955.054167
mid,42,26.00,left,1487235956.660806
low,16,13.00,left,1487235958.103871
low,77,43.50,right,1487235959.533076
low,51,30.50,right,1487235961.261921
high,41,25.50,right,1487235962.854269
mid,115,62.50,right,1487235964.256851
high,100,55.00,right,1487235965.686063
high,18,14.00,left,1487235967.373448
mid,39,24.50,left,1487235968.735000
mid,49,29.50,left,1487235970.110415
mid,32,21.00,right,1487235971.458681
high,107,58.50,right,1487235972.915266
low,48,29.00,right,1487235974.535460
low,74,42.00,right,1487235976.046449
low,105,57.50,right,1487235977.448227
low,42,26.00,right,1487235978.987210
mid,56,33.00,right,1487235980.470566
high,39,24.50,right,1487235981.927669
low,75,42.50,right,1487235983.465432
mid,93,51.50,right,1487235984.975850
low,30,20.00,NA,0.000000
mid,95,52.50,right,1487235987.956054
low,41,25.50,right,1487235989.629972
high,112,61.00,right,1487235991.086802
high,38,24.00,right,1487235992.788860
high,93,51.50,right,1487235994.176062
mid,51,30.50,right,1487235995.673411
mid,55,32.50,right,1487235997.007581
low,87,48.50,right,1487235998.573638
low,18,14.00,left,1487236000.057926
mid,15,12.50,left,1487236001.554839
high,82,46.00,right,1487236003.065727
high,84,47.00,right,1487236004.699228
low,61,35.50,left,1487236006.264600
mid,9,9.50,left,1487236007.734486
mid,47,28.50,right,1487236008.973552
high,72,41.00,right,1487236010.525176
high,102,56.00,right,1487236011.914078
low,35,22.50,left,1487236013.533896
low,108,59.00,right,1487236015.099621
low,34,22.00,left,1487236016.610797
mid,12,11.00,left,1487236018.067453
high,80,45.00,right,1487236019.469123
mid,2,6.00,left,1487236020.953294
high,78,44.00,right,1487236022.519567
mid,3,6.50,left,1487236023.989211
low,63,36.50,right,1487236025.527027
high,34,22.00,right,1487236026.970057
low,2,6.00,left,1487236028.467345
high,17,13.50,right,1487236029.897040
mid,117,63.50,right,1487236031.325728
low,68,39.00,right,1487236032.918816
mid,114,62.00,right,1487236034.361914
high,56,33.00,right,1487236035.967910
high,26,18.00,left,1487236037.709399
low,59,34.50,left,1487236039.274404
low,46,28.00,left,1487236040.826520
mid,106,58.00,right,1487236042.296472
high,50,30.00,right,1487236043.575963
low,24,17.00,left,1487236045.114843
high,64,37.00,right,1487236046.544284
mid,10,10.00,left,1487236047.959559
mid,38,24.00,right,1487236049.470372
mid,78,44.00,right,1487236050.886027
mid,62,36.00,right,1487236052.356005
mid,41,25.50,left,1487236054.219588
low,98,54.00,right,1487236055.540280
low,62,36.00,right,1487236056.983669
high,25,17.50,left,1487236058.792559
low,8,9.00,left,1487236060.058391
high,85,47.50,right,1487236061.418252
high,75,42.50,right,1487236062.875721
high,79,44.50,right,1487236064.360564
mid,79,44.50,right,1487236065.926605
low,66,38.00,right,1487236067.723340
low,39,24.50,left,1487236069.071301
low,81,45.50,right,1487236070.378683
high,66,38.00,right,1487236071.957155
high,27,18.50,left,1487236073.509126
low,27,18.50,left,1487236075.047392
mid,13,11.50,left,1487236076.368307
high,108,59.00,right,1487236077.716302
mid,29,19.50,left,1487236079.445735
high,8,9.00,left,1487236080.916621
mid,85,47.50,right,1487236082.251547
mid,94,52.00,right,1487236083.830819
low,36,23.00,left,1487236085.411194
low,14,12.00,left,1487236087.031140
low,57,33.50,left,1487236088.569728
mid,44,27.00,right,1487236090.407146
high,11,10.50,left,1487236091.442043
mid,84,47.00,right,1487236092.830934
low,101,55.50,right,1487236094.328768
high,113,61.50,right,1487236095.840571
mid,54,32.00,left,1487236097.487799
high,115,62.50,right,1487236098.944448
mid,99,54.50,right,1487236100.333982
low,83,46.50,right,1487236101.954449
high,103,56.50,right,1487236103.425109
low,78,44.00,right,1487236105.044969
mid,20,15.00,left,1487236106.800704
mid,7,8.50,left,1487236108.053146
low,112,61.00,right,1487236109.495479
mid,23,16.50,left,1487236111.251303
low,44,27.00,right,1487236112.749130
low,15,12.50,left,1487236114.272033
mid,96,53.00,right,1487236115.687665
high,77,43.50,right,1487236117.361652
high,46,28.00,right,1487236118.913719
high,31,20.50,right,1487236120.276079
high,28,19.00,right,1487236121.705788
low,55,32.50,right,1487236155.329181
mid,103,56.50,right,1487236156.676754
mid,71,40.50,right,1487236158.105859
low,103,56.50,right,1487236159.630224
high,12,11.00,left,1487236161.549884
high,119,64.50,right,1487236162.720578
high,97,53.50,right,1487236164.163007
mid,53,31.50,left,1487236165.892400
low,84,47.00,right,1487236167.117423
low,33,21.50,left,1487236168.941864
mid,24,17.00,left,1487236170.194111
high,16,13.00,left,1487236171.624118
high,32,21.00,NA,0.000000
mid,87,48.50,right,1487236174.620093
mid,52,31.00,right,1487236175.995486
mid,34,22.00,left,1487236177.505740
low,69,39.50,right,1487236178.840525
low,116,63.00,right,1487236180.393133
mid,98,54.00,right,1487236181.997347
high,54,32.00,left,1487236183.698271
low,26,18.00,left,1487236185.236452
low,31,20.50,left,1487236186.502178
high,73,41.50,right,1487236187.890914
high,44,27.00,right,1487236189.429776
high,48,29.00,right,1487236190.995674
mid,72,41.00,right,1487236192.479847
high,88,49.00,right,1487236194.004883
low,53,31.50,right,1487236195.761655
high,21,15.50,left,1487236197.313296
mid,101,55.50,right,1487236198.443129
low,25,17.50,left,1487236200.008472
low,13,11.50,left,1487236201.519815
low,67,38.50,right,1487236203.085524
high,9,9.50,left,1487236204.691277
mid,109,59.50,right,1487236206.188374
mid,57,33.50,right,1487236208.393022
low,91,50.50,right,1487236209.427843
mid,30,20.00,left,1487236210.747651
low,80,45.00,right,1487236212.218185
low,12,11.00,left,1487236213.838430
mid,116,63.00,right,1487236215.309335
mid,21,15.50,left,1487236216.929430
high,19,14.50,left,1487236218.522434
high,45,27.50,left,1487236220.061188
high,105,57.50,right,1487236221.545522
mid,16,13.00,left,1487236223.084419
high,7,8.50,left,1487236224.499792
low,102,56.00,right,1487236225.888327
high,52,31.00,right,1487236227.466642
low,43,26.50,left,1487236228.895212
low,29,19.50,left,1487236230.297201
low,92,51.00,right,1487236231.713204
mid,1,5.50,left,1487236233.223553
high,109,59.50,right,1487236234.802766
low,23,16.50,left,1487236236.340887
high,90,50.00,right,1487236237.729081
mid,11,10.50,left,1487236239.307852
mid,4,7.00,left,1487236240.777772
high,92,51.00,right,1487236242.261835
